rxn_id,mw_kDa,kcat_s,source,group
R04430__cyto,135.89,13.7,ec_class_prior,Fatty acid biosynthesis
R07084__cyto,30.0625,13.7,ec_class_prior,Metabolism of xenobiotics by cytochrome P450
R01965__cyto,40.045,79.0,ec_class_prior,
R02558__cyto,90.946667,79.0,ec_class_prior,Cyanoamino acid metabolism
R02017__cyto,79.923333,13.7,ec_class_prior,Purine metabolism
R00602__cyto,55.04,13.7,ec_class_prior,
R04964__cyto,152.495,13.7,ec_class_prior,Fatty acid biosynthesis
R01736__cyto,28.28,79.0,ec_class_prior,Pyruvate metabolism
R01626__cyto,229.37,13.7,ec_class_prior,Fatty acid biosynthesis
R05733__cyto,36.03,13.7,ec_class_prior,
R04969__cyto,42.41,13.7,ec_class_prior,Fatty acid biosynthesis
R01209__mito,63.04,15.0,ec_class_prior,
R00316__cyto,74.865,10.0,ec_class_prior,Pyruvate metabolism
R00328__cyto,76.445,79.0,ec_class_prior,Purine metabolism
R03601__cyto,40.09,13.7,ec_class_prior,
R08120__cyto,30.37,79.0,ec_class_prior,Microbial metabolism in diverse environments
R00390__cyto,77.44,10.0,ec_class_prior,Fatty acid biosynthesis
R01600__cyto,53.923333,13.7,ec_class_prior,Biosynthesis of antibiotics
R01710__cyto,31.535,13.7,ec_class_prior,Microbial metabolism in diverse environments
R03217__cyto,66.65,13.7,ec_class_prior,Biosynthesis of antibiotics
R07134__cyto,30.27,13.7,ec_class_prior,Pentose and glucuronate interconversions
R12188__cyto,45.0,15.0,ec_class_prior,
R02670__cyto,55.04,13.7,ec_class_prior,Non enzymatic
R04533__cyto,152.495,13.7,ec_class_prior,Fatty acid biosynthesis
R02024__cyto,79.923333,13.7,ec_class_prior,Pyrimidine metabolism
R04859__cyto,45.145,13.7,ec_class_prior,
R00988__cyto,28.28,79.0,ec_class_prior,Tryptophan metabolism
R10065__cyto,63.24,13.7,ec_class_prior,
R11216__mito,46.505,13.7,ec_class_prior,
R04371__cyto,73.19,15.0,ec_class_prior,2-Oxocarboxylic acid metabolism
R07091__cyto,30.0625,13.7,ec_class_prior,Metabolism of xenobiotics by cytochrome P450
R01431__cyto,32.58,13.7,ec_class_prior,Pentose and glucuronate interconversions
R01321__cyto,33.55,13.7,ec_class_prior,Glycerophospholipid metabolism
R07406__cyto,45.6025,13.7,ec_class_prior,Spontaneous
R09882__mito,69.56,79.0,ec_class_prior,
R00227__mito,43.845,79.0,ec_class_prior,Pyruvate metabolism
R10928__cyto,58.688571,79.0,ec_class_prior,Inositol phosphate metabolism
R03648__cyto,59.095,10.0,ec_class_prior,Aminoacyl-tRNA biosynthesis
R05616__cyto,43.62,13.7,ec_class_prior,Ubiquinone and other terpenoid-quinone biosynthesis
R01799__mito,47.92,13.7,ec_class_prior,Glycerophospholipid metabolism
R09376__cyto,29.15,13.7,ec_class_prior,Riboflavin metabolism
R11101__cyto,44.933333,15.0,ec_class_prior,Spontaneous
R00772__cyto,48.58,6.9,ec_class_prior,
R02059__cyto,44.05,79.0,ec_class_prior,Biosynthesis of antibiotics
R01698__mito,51.95,13.7,ec_class_prior,
R04751__cyto,78.966667,13.7,ec_class_prior,Fatty acid metabolism
R00937__mito,23.52,13.7,ec_class_prior,One carbon pool by folate
R11312__cyto,53.2,13.7,ec_class_prior,
R02404__mito,33.83,10.0,ec_class_prior,C5-Branched dibasic acid metabolism
R05510__cyto,30.37,79.0,ec_class_prior,Chlorocyclohexane and chlorobenzene degradation
R09477__cyto,35.77,13.7,ec_class_prior,Pentose and glucuronate interconversions
R04430__mito,135.89,13.7,ec_class_prior,Fatty acid biosynthesis
R05168__cyto,35.215,79.0,ec_class_prior,Galactose metabolism
R04920__cyto,33.55,13.7,ec_class_prior,Phosphonate and phosphinate metabolism
R02235__mito,23.52,13.7,ec_class_prior,One carbon pool by folate
R05506__cyto,60.042222,13.7,ec_class_prior,Degradation of aromatic compounds
R04144__cyto,83.87,10.0,ec_class_prior,Biosynthesis of antibiotics
R03758__cyto,45.6025,13.7,ec_class_prior,"Glycine, serine and threonine metabolism"
R00708__cyto,64.43,13.7,ec_class_prior,Arginine and proline metabolism
R01279__pero,78.966667,13.7,ec_class_prior,Fatty acid metabolism
R10170__cyto,85.78,15.0,ec_class_prior,2-Oxocarboxylic acid metabolism
R05234__cyto,38.4775,13.7,ec_class_prior,Microbial metabolism in diverse environments
R03158__cyto,52.66,79.0,ec_class_prior,Propanoate metabolism
R00159__cyto,76.445,79.0,ec_class_prior,Pyrimidine metabolism
R00662__cyto,69.56,79.0,ec_class_prior,Pyrimidine metabolism
R12404__cyto,38.83,13.7,ec_class_prior,Biosynthesis of antibiotics
R10115__cyto,45.16,13.7,ec_class_prior,Biotin metabolism
R02668__cyto,50.3,79.0,ec_class_prior,Tryptophan metabolism
R10548__cyto,85.32,13.7,ec_class_prior,
R12399__cyto,44.238,13.7,ec_class_prior,Steroid biosynthesis
R03492__cyto,63.46,79.0,ec_class_prior,
R00332__cyto,20.74,13.7,ec_class_prior,Purine metabolism
R12024__mito,35.64,79.0,ec_class_prior,
R01752__cyto,55.306667,13.7,ec_class_prior,Glycerolipid metabolism
R04582__cyto,75.8,10.0,ec_class_prior,
R04967__mito,135.89,13.7,ec_class_prior,Fatty acid biosynthesis
R02617__cyto,63.939167,13.7,ec_class_prior,
R01086__cyto,52.02,15.0,ec_class_prior,Biosynthesis of antibiotics
R10056__cyto,51.377143,13.7,ec_class_prior,
R02396__cyto,84.97,13.7,ec_class_prior,
R00756__cyto,105.19,13.7,ec_class_prior,Microbial metabolism in diverse environments
R04863__cyto,154.18,13.7,ec_class_prior,Lysine biosynthesis
R10827__cyto,24.525,15.0,ec_class_prior,Fatty acid elongation
R07497__cyto,24.44,13.7,ec_class_prior,Biosynthesis of antibiotics
R01663__cyto,37.79,79.0,ec_class_prior,Pyrimidine metabolism
R04941__cyto,45.0,15.0,ec_class_prior,Selenocompound metabolism
