rxn_id,mw_kDa,kcat_s,source,group
R02558__cyto,90.946667,5.6913,dlkcat,Cyanoamino acid metabolism
R02017__cyto,79.923333,13.7,default_13.7,Purine metabolism
R00602__cyto,55.04,588.2042,dlkcat,
R04964__cyto,152.495,13.7,default_13.7,Fatty acid biosynthesis
R01736__cyto,28.28,34.7081,dlkcat,Pyruvate metabolism
R01626__cyto,229.37,3.4576,dlkcat,Fatty acid biosynthesis
R05733__cyto,36.03,0.6854,dlkcat,
R04969__cyto,42.41,13.7,default_13.7,Fatty acid biosynthesis
R01209__mito,63.04,1.3881,dlkcat,
R00316__cyto,74.865,1.5855,dlkcat,Pyruvate metabolism
R00328__cyto,76.445,13.7,default_13.7,Purine metabolism
R03601__cyto,40.09,3.3851,dlkcat,
R08120__cyto,30.37,2.607,dlkcat,Microbial metabolism in diverse environments
R00390__cyto,77.44,13.7,default_13.7,Fatty acid biosynthesis
R01600__cyto,53.923333,22.9348,dlkcat,Biosynthesis of antibiotics
R01710__cyto,31.535,1.4882,dlkcat,Microbial metabolism in diverse environments
R03217__cyto,66.65,2.2359,dlkcat,Biosynthesis of antibiotics
R07134__cyto,30.27,1.9803,dlkcat,Pentose and glucuronate interconversions
R12188__cyto,45.0,13.7,default_13.7,
R02670__cyto,55.04,13.1642,dlkcat,Non enzymatic
R04533__cyto,152.495,13.7,default_13.7,Fatty acid biosynthesis
R02024__cyto,79.923333,13.7,default_13.7,Pyrimidine metabolism
R04859__cyto,45.145,10.5689,dlkcat,
R00988__cyto,28.28,33.014,dlkcat,Tryptophan metabolism
R10065__cyto,63.24,7.565,dlkcat,
R11216__mito,46.505,13.7,default_13.7,
R04371__cyto,73.19,0.7182,dlkcat,2-Oxocarboxylic acid metabolism
R07091__cyto,30.0625,35.3815,dlkcat,Metabolism of xenobiotics by cytochrome P450
R01431__cyto,32.58,7.217,dlkcat,Pentose and glucuronate interconversions
R01321__cyto,33.55,0.8978,dlkcat,Glycerophospholipid metabolism
R07406__cyto,45.6025,44.5949,dlkcat,Spontaneous
R09882__mito,69.56,9.1197,dlkcat,
R00227__mito,43.845,3.353,dlkcat,Pyruvate metabolism
R10928__cyto,58.688571,13.7,default_13.7,Inositol phosphate metabolism
R03648__cyto,59.095,7.2644,dlkcat,Aminoacyl-tRNA biosynthesis
R05616__cyto,43.62,0.0622,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R01799__mito,47.92,27.5501,dlkcat,Glycerophospholipid metabolism
R09376__cyto,29.15,0.4132,dlkcat,Riboflavin metabolism
R11101__cyto,44.933333,19.4726,dlkcat,Spontaneous
R00772__cyto,48.58,23.8315,dlkcat,
R02059__cyto,44.05,6.4864,dlkcat,Biosynthesis of antibiotics
R01698__mito,51.95,21.05,dlkcat,
R04751__cyto,78.966667,38.2205,dlkcat,Fatty acid metabolism
