dataset,medium,quantity,ratio_min,ratio_max,constant_factor,dlog_dT_table,dlog_dT_config,dlog_dT_moved
R2A_LB,NLDM,R_O2_mg_cell_min,1.0,1.0,True,0.04471659878300763,0.04471659878300763,False
R2A_LB,LB,R_O2_mg_cell_min,1.0,1.0,True,0.07267902506504308,0.07267902506504308,False
R2A_LB,NLDM,growth_C_per_C_h,1.0,1.0,True,-0.02434341568774281,-0.02434341568774281,False
R2A_LB,LB,growth_C_per_C_h,1.0,1.0,True,0.018005822406648598,0.018005822406648598,False
R2A_LB,NLDM,growth_fgC_h,6.058799999999999,6.058800000000001,True,-0.0243434156877428,-0.0243434156877428,False
R2A_LB,LB,growth_fgC_h,6.058799999999999,6.058800000000001,True,0.018005822406648605,0.018005822406648594,False
R2A_LB,NLDM,respiration_fgC_h,1.0,1.0,True,0.04471659878300762,0.04471659878300762,False
R2A_LB,LB,respiration_fgC_h,1.0,1.0,True,0.07267902506504308,0.07267902506504308,False
R2A_LB,NLDM,respiration_C_per_C_h,0.16504918465702778,0.16504918465702784,True,0.044716598783007606,0.04471659878300762,False
R2A_LB,LB,respiration_C_per_C_h,0.16504918465702778,0.16504918465702784,True,0.07267902506504308,0.07267902506504308,False
R2A_LB,NLDM,CUE,1.2344298514926721,6.057604182280163,False,-0.05871774970774474,-0.04355099515307758,True
R2A_LB,LB,CUE,1.2344298514926721,6.057604182280163,False,-0.04759176728876106,-0.03618023044534499,True
R2A_LB,NLDM,resp_over_growth,0.16504918465702775,0.16504918465702784,True,0.06906001447075041,0.0690600144707504,False
R2A_LB,LB,resp_over_growth,0.16504918465702775,0.16504918465702784,True,0.05467320265839446,0.05467320265839446,False
M9,M9,R_O2_mg_cell_min,1.0,1.0,True,0.04244408573731229,0.04244408573731229,False
M9,M9,growth_C_per_C_h,1.0,1.0,True,-0.12870415295847906,-0.12870415295847906,False
M9,M9,growth_fgC_h,6.058799999999999,6.058800000000001,True,-0.12870415295847903,-0.12870415295847903,False
M9,M9,respiration_fgC_h,1.0,1.0,True,0.042444085737312315,0.042444085737312315,False
M9,M9,respiration_C_per_C_h,0.16504918465702778,0.16504918465702784,True,0.042444085737312315,0.04244408573731232,False
M9,M9,CUE,1.001230717487847,6.057100453197867,False,-0.16463297651335787,-0.14609231442803763,True
M9,M9,resp_over_growth,0.16504918465702778,0.16504918465702784,True,0.17114823869579138,0.17114823869579135,False
