config,slope,ci_lo,ci_hi,excludes_band_low,excludes_band
D,-0.2517785173016278,-0.6215712601473545,0.1180142255440989,True,True
E,-0.01951925943041375,-0.5240649107340029,0.4850263918731753,False,False
F,0.005666623947683803,-0.27249261010566694,0.28382585800103455,True,True
